"","Iteration","Num_Selected","Selected_Predictors","Sensitivity","Specificity","TP","TN","FP","FN"
"200",200,11,"P7, P26, P63, P72, P81, P94, P143, P211, P244, P256, P292",0.876106194690266,0.804597701149425,99,70,17,14
"201",201,6,"P63, P94, P143, P244, P256, P292",0.854166666666667,0.807692307692308,82,84,20,14
"202",202,7,"P63, P81, P94, P143, P244, P256, P292",0.88034188034188,0.843373493975904,103,70,13,14
"203",203,12,"P26, P32, P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.921052631578947,0.848837209302326,105,73,13,9
"204",204,13,"P7, P26, P32, P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.934065934065934,0.844036697247706,85,92,17,6
"205",205,10,"P26, P32, P63, P72, P81, P94, P143, P244, P256, P292",0.846153846153846,0.927083333333333,88,89,7,16
"206",206,8,"P32, P63, P81, P94, P143, P244, P256, P292",0.841584158415842,0.838383838383838,85,83,16,16
"207",207,6,"P81, P94, P143, P244, P256, P292",0.888888888888889,0.841584158415842,88,85,16,11
"208",208,6,"P81, P94, P143, P244, P256, P292",0.845360824742268,0.864077669902913,82,89,14,15
"209",209,10,"P26, P32, P63, P81, P94, P143, P211, P244, P256, P292",0.828282828282828,0.851485148514851,82,86,15,17
"210",210,5,"P81, P94, P143, P256, P292",0.833333333333333,0.846153846153846,80,88,16,16
"211",211,10,"P26, P63, P72, P81, P91, P94, P143, P244, P256, P292",0.908256880733945,0.868131868131868,99,79,12,10
"212",212,9,"P32, P63, P72, P81, P94, P143, P244, P256, P292",0.863636363636364,0.875,76,98,14,12
"213",213,12,"P26, P32, P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.88,0.8,88,80,20,12
"214",214,7,"P32, P63, P72, P94, P143, P256, P292",0.910891089108911,0.818181818181818,92,81,18,9
"215",215,5,"P81, P94, P143, P256, P292",0.83695652173913,0.87037037037037,77,94,14,15
"216",216,12,"P26, P32, P63, P81, P91, P94, P109, P143, P211, P244, P256, P292",0.944444444444444,0.880434782608696,102,81,11,6
"217",217,9,"P26, P63, P81, P91, P94, P143, P244, P256, P292",0.865853658536585,0.872881355932203,71,103,15,11
"218",218,11,"P32, P63, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.91743119266055,0.879120879120879,100,80,11,9
"219",219,11,"P32, P43, P63, P72, P81, P94, P143, P211, P244, P256, P292",0.855670103092783,0.796116504854369,83,82,21,14
"220",220,8,"P32, P63, P72, P94, P143, P244, P256, P292",0.811320754716981,0.882978723404255,86,83,11,20
"221",221,8,"P26, P63, P72, P91, P94, P143, P256, P292",0.849462365591398,0.878504672897196,79,94,13,14
"222",222,7,"P26, P63, P94, P143, P244, P256, P292",0.876288659793814,0.883495145631068,85,91,12,12
"223",223,7,"P63, P72, P94, P143, P244, P256, P292",0.819047619047619,0.863157894736842,86,82,13,19
"224",224,13,"P26, P32, P63, P72, P81, P91, P94, P109, P143, P211, P244, P256, P292",0.885714285714286,0.863157894736842,93,82,13,12
"225",225,9,"P26, P32, P72, P81, P94, P143, P244, P256, P292",0.867924528301887,0.851063829787234,92,80,14,14
"226",226,7,"P63, P81, P94, P109, P143, P256, P292",0.881720430107527,0.813084112149533,82,87,20,11
"227",227,11,"P26, P32, P72, P81, P91, P94, P143, P211, P244, P256, P292",0.888888888888889,0.861386138613861,88,87,14,11
"228",228,8,"P26, P32, P81, P91, P94, P143, P256, P292",0.808988764044944,0.864864864864865,72,96,15,17
"229",229,7,"P63, P81, P94, P143, P244, P256, P292",0.935483870967742,0.813084112149533,87,87,20,6
"230",230,9,"P32, P63, P81, P91, P94, P143, P244, P256, P292",0.852941176470588,0.846938775510204,87,83,15,15
"231",231,11,"P7, P32, P63, P72, P91, P94, P143, P211, P244, P256, P292",0.897727272727273,0.857142857142857,79,96,16,9
"232",232,7,"P63, P91, P94, P143, P244, P256, P292",0.873684210526316,0.857142857142857,83,90,15,12
"233",233,8,"P32, P63, P72, P81, P94, P143, P256, P292",0.820224719101124,0.783783783783784,73,87,24,16
"234",234,8,"P26, P32, P81, P91, P94, P143, P256, P292",0.841584158415842,0.888888888888889,85,88,11,16
"235",235,10,"P26, P32, P63, P72, P81, P94, P143, P244, P256, P292",0.839622641509434,0.861702127659574,89,81,13,17
"236",236,7,"P72, P91, P94, P143, P244, P256, P292",0.850467289719626,0.763440860215054,91,71,22,16
"237",237,10,"P26, P32, P63, P81, P91, P94, P143, P244, P256, P292",0.844660194174757,0.855670103092783,87,83,14,16
"238",238,7,"P63, P81, P94, P143, P244, P256, P292",0.865384615384615,0.875,90,84,12,14
"239",239,9,"P26, P63, P81, P91, P94, P143, P244, P256, P292",0.923076923076923,0.844036697247706,84,92,17,7
"240",240,9,"P26, P32, P63, P72, P81, P94, P143, P256, P292",0.835051546391753,0.87378640776699,81,90,13,16
